"ticker_code","sector_name","statement_date","stocks_amount","div_yield","assets","disponibility","current_assets","gross_debt","net_debt","liquid_equity","net_revenue","ebit","liquid_profit","price_date","price_value"
ATMP3,Bens Industriais,2022-03-31,26710000,0.00,1760040000,34271000,401710000,358051000,323780000,1002500000,76201000,-33757000,-174997000,2022-06-22,1.03
ASAI3,Bens Industriais,2022-03-31,1347210000,1.10,32487000000,4389000000,12270000000,10999000000,6610000000,43893000000,2984000000,3338000000,1584000000,2022-06-22,14.99
JSLG3,Bens Industriais,2022-03-31,286431000,6.80,7076060000,689316000,2443380000,4000740000,3311430000,4724270000,1354950000,403830000,263507000,2022-06-22,5.18
CMIN3,Bens Industriais,2022-03-31,5485340000,20.60,24048100000,6575290000,9740580000,4319790000,-2255500000,17293000000,14739900000,8309900000,4747450000,2022-06-22,4.23
ELMD3,Bens Industriais,2022-03-31,139984000,0.00,1533400000,484450000,613556000,527697000,43247000,466768000,760772000,46336000,-1625000,2022-06-22,9.89
ORVR3,Bens Industriais,2022-03-31,71500000,0.00,1218870000,9612000,482519000,566139000,556527000,447117000,335501000,116359000,-35596000,2022-06-22,27.8
OPCT3,Bens Industriais,2022-03-31,199960000,0.00,2250700000,340220000,650460000,1161270000,821047000,1011030000,774557000,47810000,-36386000,2022-06-22,1.85
WEST3,Bens Industriais,2022-03-31,110197000,0.00,466134000,222159000,319264000,34959000,-187200000,321635000,373540000,-60263000,-32552000,2022-06-22,2.03
CSED3,Bens Industriais,2022-03-31,381822000,3.80,4887840000,1065760000,1300550000,1123760000,58004000,1872790000,1457280000,303336000,70120000,2022-06-22,3.3
BMOB3,Bens Industriais,2022-03-31,90909100,1.70,1407880000,526623000,898915000,0,-526623000,804990000,1021170000,88789000,82462000,2022-06-22,12.05
JALL3,Bens Industriais,2022-03-31,294697000,3.60,0,1242660000,0,2157900000,915238000,1449070000,1388730000,-200126000,0,2022-06-22,7.55
MBLY3,Bens Industriais,2022-03-31,106490000,0.00,930061000,205533000,582695000,177810000,-27723000,705324000,615928000,-82565000,-85233000,2022-06-22,2.42
ESPA3,Bens Industriais,2022-03-31,244236000,3.20,2192500000,130872000,840861000,916356000,785484000,747758000,723328000,85340000,113530000,2022-06-22,2.37
VAMO3,Bens Industriais,2022-03-31,976988000,1.60,10881100000,3021070000,4269400000,6115660000,3094590000,3248260000,2749900000,916331000,450992000,2022-06-22,12.38
INTB3,Bens Industriais,2022-03-31,327611000,1.40,3351750000,664178000,2702000000,416165000,-248013000,3256910000,1975710000,379401000,373911000,2022-06-22,25.58
NGRD3,Bens Industriais,2022-03-31,238662000,0.70,739900000,293287000,354362000,82479000,-210808000,252173000,457808000,20403000,12214000,2022-06-22,2.0
AVLL3,Bens Industriais,2022-03-31,22415800,0.00,1782480000,81368000,597458000,929945000,848577000,192369000,-72300000,-117505000,-393903000,2022-06-22,25.0
RRRP3,Bens Industriais,2022-03-31,202593000,0.00,5228380000,1602110000,1927010000,40668000,-1561440000,970293000,3800970000,338607000,-249048000,2022-06-22,33.97
ENJU3,Bens Industriais,2022-03-31,198363000,0.00,454377000,365259000,396031000,0,-365259000,112401000,401241000,-134043000,-118135000,2022-06-22,1.19
CASH3,Bens Industriais,2022-03-31,803670000,0.00,863491000,504297000,626425000,1642000,-502655000,301722000,670353000,-91144000,-48577000,2022-06-22,1.26
GMAT3,Bens Industriais,2022-03-31,2209350000,0.00,10460100000,618570000,6429720000,2095500000,1476930000,17093400000,6599900000,998730000,800101000,2022-06-22,3.28
SEQL3,Bens Industriais,2022-03-31,140270000,0.00,1966960000,163904000,632967000,671177000,507273000,1643060000,572656000,5457980,-29066000,2022-06-22,6.09
